"RIL","Treatment","Rep","Plot","Date","loc1","loc2","loc3","loc4","loc5","Score"
"100","Control",1,1,"2/8/20","P","P","A","P","A",2
"2","Control",1,2,"2/8/20","A","P","P","A","A",2
"137","Control",1,3,"2/8/20","P","A","P","P","A",1
"172","Control",1,4,"2/8/20","P","P","P","A","A",2
"188","Control",1,5,"2/8/20","P","A","P","P","P",2
"PI","Control",1,6,"2/8/20","P","P","P","P","P",3
"55","Control",1,7,"2/8/20","A","A","A","P","P",1
"201","Control",1,8,"2/8/20","P","P","A","A","A",2
"14","Control",1,9,"2/8/20","A","P","P","A","P",3
"58","Control",1,10,"2/8/20","P","A","A","P","P",1
"222","Control",1,11,"2/8/20","P","P","A","A","P",2
"21","Control",1,12,"2/8/20","P","P","A","P","P",2
"161","Control",1,13,"2/8/20","A","P","A","P","P",3
"169","Control",1,14,"2/8/20","A","A","A","A","P",1
"108","Control",1,15,"2/8/20","A","A","P","A","A",1
"154","Control",1,16,"2/8/20","P","A","A","A","P",2
"105","Control",1,17,"2/8/20","P","A","A","A","A",1
"66","Control",1,18,"2/8/20","A","A","P","A","P",2
"33","Control",1,19,"2/8/20","A","P","A","A","A",1
"112","Control",1,20,"2/8/20","P","A","A","P","A",2
"53","Control",1,21,"2/8/20","A","A","P","P","P",2
"146","Control",1,22,"2/8/20","P","P","P","A","P",4
"114","Control",1,23,"2/8/20","A","A","P","P","A",1
"25","Control",1,24,"2/8/20","P","A","P","A","A",1
"175","Control",1,25,"2/8/20","P","A","P","A","P",2
"235","Control",1,26,"2/8/20","A","P","P","P","A",3
"19","Control",1,27,"2/8/20","A","A","A","P","A",2
"24","Control",1,28,"2/8/20","A","P","A","P","A",1
"Arm","Control",1,29,"2/8/20","A","A","A","A","A",1
"228","Control",1,30,"2/8/20","P","P","P","P","A",2
"179","Control",1,31,"2/8/20","A","P","P","P","P",2
"229","Control",1,32,"2/8/20","A","P","A","A","P",1
"2","Control",2,1,"2/8/20","A","P","P","A","A",2
"21","Control",2,2,"2/8/20","P","P","A","P","P",2
"154","Control",2,3,"2/8/20","P","A","A","A","P",2
"58","Control",2,4,"2/8/20","P","A","A","P","P",2
"235","Control",2,5,"2/8/20","A","P","P","P","A",3
"175","Control",2,6,"2/8/20","P","A","P","A","P",2
"25","Control",2,7,"2/8/20","P","A","P","A","A",1
"172","Control",2,8,"2/8/20","P","P","P","A","A",2
"Arm","Control",2,9,"2/8/20","A","A","A","A","A",1
"222","Control",2,10,"2/8/20","P","P","A","A","P",2
"112","Control",2,11,"2/8/20","P","A","A","P","A",2
"55","Control",2,12,"2/8/20","A","A","A","P","P",1
"33","Control",2,13,"2/8/20","A","P","A","A","A",1
"19","Control",2,14,"2/8/20","A","A","A","P","A",2
"PI","Control",2,15,"2/8/20","P","P","P","P","P",3
"188","Control",2,16,"2/8/20","P","A","P","P","P",3
"105","Control",2,17,"2/8/20","P","A","A","A","A",1
"146","Control",2,18,"2/8/20","P","P","P","A","P",4
"137","Control",2,19,"2/8/20","P","A","P","P","A",2
"14","Control",2,20,"2/8/20","A","P","P","A","P",3
"179","Control",2,21,"2/8/20","A","P","P","P","P",2
"169","Control",2,22,"2/8/20","A","A","A","A","P",1
"53","Control",2,23,"2/8/20","A","A","P","P","P",2
"161","Control",2,24,"2/8/20","A","P","A","P","P",3
"100","Control",2,25,"2/8/20","P","P","A","P","A",2
"228","Control",2,26,"2/8/20","P","P","P","P","A",2
"108","Control",2,27,"2/8/20","A","A","P","A","A",1
"114","Control",2,28,"2/8/20","A","A","P","P","A",1
"201","Control",2,29,"2/8/20","P","P","A","A","A",2
"229","Control",2,30,"2/8/20","A","P","A","A","P",1
"66","Control",2,31,"2/8/20","A","A","P","A","P",2
"24","Control",2,32,"2/8/20","A","P","A","P","A",1
"100","Control_NoCurtain",1,1,"2/8/20","P","P","A","P","A",2
"2","Control_NoCurtain",1,2,"2/8/20","A","P","P","A","A",2
"137","Control_NoCurtain",1,3,"2/8/20","P","A","P","P","A",1
"172","Control_NoCurtain",1,4,"2/8/20","P","P","P","A","A",2
"188","Control_NoCurtain",1,5,"2/8/20","P","A","P","P","P",2
"PI","Control_NoCurtain",1,6,"2/8/20","P","P","P","P","P",3
"55","Control_NoCurtain",1,7,"2/8/20","A","A","A","P","P",1
"201","Control_NoCurtain",1,8,"2/8/20","P","P","A","A","A",2
"14","Control_NoCurtain",1,9,"2/8/20","A","P","P","A","P",3
"58","Control_NoCurtain",1,10,"2/8/20","P","A","A","P","P",2
"222","Control_NoCurtain",1,11,"2/8/20","P","P","A","A","P",2
"21","Control_NoCurtain",1,12,"2/8/20","P","P","A","P","P",2
"161","Control_NoCurtain",1,13,"2/8/20","A","P","A","P","P",3
"169","Control_NoCurtain",1,14,"2/8/20","A","A","A","A","P",1
"108","Control_NoCurtain",1,15,"2/8/20","A","A","P","A","A",1
"154","Control_NoCurtain",1,16,"2/8/20","P","A","A","A","P",2
"105","Control_NoCurtain",1,17,"2/8/20","P","A","A","A","A",1
"66","Control_NoCurtain",1,18,"2/8/20","A","A","P","A","P",2
"33","Control_NoCurtain",1,19,"2/8/20","A","P","A","A","A",1
"112","Control_NoCurtain",1,20,"2/8/20","P","A","A","P","A",2
"53","Control_NoCurtain",1,21,"2/8/20","A","A","P","P","P",1
"146","Control_NoCurtain",1,22,"2/8/20","P","P","P","A","P",4
"114","Control_NoCurtain",1,23,"2/8/20","A","A","P","P","A",1
"175","Control_NoCurtain",1,25,"2/8/20","P","A","P","A","P",2
"235","Control_NoCurtain",1,26,"2/8/20","A","P","P","P","A",3
"19","Control_NoCurtain",1,27,"2/8/20","A","A","A","P","A",2
"24","Control_NoCurtain",1,28,"2/8/20","A","P","A","P","A",1
"Arm","Control_NoCurtain",1,29,"2/8/20","A","A","A","A","A",1
"228","Control_NoCurtain",1,30,"2/8/20","P","P","P","P","A",2
"179","Control_NoCurtain",1,31,"2/8/20","A","P","P","P","P",2
"229","Control_NoCurtain",1,32,"2/8/20","A","P","A","A","P",1
"25","Control_NoCurtain",2,1,"2/8/20","P","A","P","A","A",2
"55","Control_NoCurtain",2,2,"2/8/20","A","A","A","P","P",1
"114","Control_NoCurtain",2,3,"2/8/20","A","A","P","P","A",1
"100","Control_NoCurtain",2,5,"2/8/20","P","P","A","P","A",2
"161","Control_NoCurtain",2,6,"2/8/20","A","P","A","P","P",3
"PI","Control_NoCurtain",2,7,"2/8/20","P","P","P","P","P",3
"229","Control_NoCurtain",2,8,"2/8/20","A","P","A","A","P",1
"222","Control_NoCurtain",2,9,"2/8/20","P","P","A","A","P",2
"179","Control_NoCurtain",2,10,"2/8/20","A","P","P","P","P",2
"58","Control_NoCurtain",2,11,"2/8/20","P","A","A","P","P",2
"108","Control_NoCurtain",2,12,"2/8/20","A","A","P","A","A",1
"169","Control_NoCurtain",2,13,"2/8/20","A","A","A","A","P",1
"24","Control_NoCurtain",2,14,"2/8/20","A","P","A","P","A",2
"172","Control_NoCurtain",2,15,"2/8/20","P","P","P","A","A",2
"105","Control_NoCurtain",2,16,"2/8/20","P","A","A","A","A",1
"154","Control_NoCurtain",2,17,"2/8/20","P","A","A","A","P",2
"66","Control_NoCurtain",2,18,"2/8/20","A","A","P","A","P",2
"201","Control_NoCurtain",2,19,"2/8/20","P","P","A","A","A",2
"21","Control_NoCurtain",2,20,"2/8/20","P","P","A","P","P",2
"112","Control_NoCurtain",2,21,"2/8/20","P","A","A","P","A",2
"14","Control_NoCurtain",2,22,"2/8/20","A","P","P","A","P",3
"228","Control_NoCurtain",2,23,"2/8/20","P","P","P","P","A",2
"Arm","Control_NoCurtain",2,24,"2/8/20","A","A","A","A","A",1
"2","Control_NoCurtain",2,25,"2/8/20","A","P","P","A","A",2
"137","Control_NoCurtain",2,26,"2/8/20","P","A","P","P","A",2
"146","Control_NoCurtain",2,27,"2/8/20","P","P","P","A","P",4
"235","Control_NoCurtain",2,28,"2/8/20","A","P","P","P","A",3
"53","Control_NoCurtain",2,29,"2/8/20","A","A","P","P","P",2
"175","Control_NoCurtain",2,30,"2/8/20","P","A","P","A","P",2
"19","Control_NoCurtain",2,31,"2/8/20","A","A","A","P","A",2
"33","Control_NoCurtain",2,32,"2/8/20","A","P","A","A","A",1
"33","NightBreak",1,1,"2/8/20","A","P","A","A","A",2
"19","NightBreak",1,2,"2/8/20","A","A","A","P","A",3
"175","NightBreak",1,3,"2/8/20","P","A","P","A","P",3
"53","NightBreak",1,4,"2/8/20","A","A","P","P","P",3
"235","NightBreak",1,5,"2/8/20","A","P","P","P","A",3
"146","NightBreak",1,6,"2/8/20","P","P","P","A","P",4
"137","NightBreak",1,7,"2/8/20","P","A","P","P","A",2
"2","NightBreak",1,8,"2/8/20","A","P","P","A","A",3
"Arm","NightBreak",1,9,"2/8/20","A","A","A","A","A",2
"228","NightBreak",1,10,"2/8/20","P","P","P","P","A",4
"14","NightBreak",1,11,"2/8/20","A","P","P","A","P",4
"112","NightBreak",1,12,"2/8/20","P","A","A","P","A",4
"21","NightBreak",1,13,"2/8/20","P","P","A","P","P",2
"201","NightBreak",1,14,"2/8/20","P","P","A","A","A",3
"66","NightBreak",1,15,"2/8/20","A","A","P","A","P",4
"154","NightBreak",1,16,"2/8/20","P","A","A","A","P",3
"105","NightBreak",1,17,"2/8/20","P","A","A","A","A",2
"172","NightBreak",1,18,"2/8/20","P","P","P","A","A",3
"24","NightBreak",1,19,"2/8/20","A","P","A","P","A",3
"169","NightBreak",1,20,"2/8/20","A","A","A","A","P",3
"108","NightBreak",1,21,"2/8/20","A","A","P","A","A",2
"58","NightBreak",1,22,"2/8/20","P","A","A","P","P",2
"179","NightBreak",1,23,"2/8/20","A","P","P","P","P",3
"222","NightBreak",1,24,"2/8/20","P","P","A","A","P",2
"229","NightBreak",1,25,"2/8/20","A","P","A","A","P",2
"PI","NightBreak",1,26,"2/8/20","P","P","P","P","P",4
"161","NightBreak",1,27,"2/8/20","A","P","A","P","P",3
"100","NightBreak",1,28,"2/8/20","P","P","A","P","A",3
"188","NightBreak",1,29,"2/8/20","P","A","P","P","P",3
"114","NightBreak",1,30,"2/8/20","A","A","P","P","A",2
"55","NightBreak",1,31,"2/8/20","A","A","A","P","P",3
"25","NightBreak",1,32,"2/8/20","P","A","P","A","A",4
"172","NightBreak",2,1,"2/8/20","P","P","P","A","A",3
"175","NightBreak",2,2,"2/8/20","P","A","P","A","P",4
"53","NightBreak",2,3,"2/8/20","A","A","P","P","P",3
"169","NightBreak",2,4,"2/8/20","A","A","A","A","P",3
"201","NightBreak",2,5,"2/8/20","P","P","A","A","A",3
"222","NightBreak",2,6,"2/8/20","P","P","A","A","P",3
"55","NightBreak",2,7,"2/8/20","A","A","A","P","P",2
"179","NightBreak",2,8,"2/8/20","A","P","P","P","P",3
"PI","NightBreak",2,9,"2/8/20","P","P","P","P","P",4
"2","NightBreak",2,10,"2/8/20","A","P","P","A","A",3
"146","NightBreak",2,12,"2/8/20","P","P","P","A","P",4
"33","NightBreak",2,13,"2/8/20","A","P","A","A","A",2
"105","NightBreak",2,14,"2/8/20","P","A","A","A","A",3
"235","NightBreak",2,15,"2/8/20","A","P","P","P","A",4
"19","NightBreak",2,16,"2/8/20","A","A","A","P","A",3
"100","NightBreak",2,17,"2/8/20","P","P","A","P","A",2
"Arm","NightBreak",2,18,"2/8/20","A","A","A","A","A",2
"154","NightBreak",2,19,"2/8/20","P","A","A","A","P",3
"229","NightBreak",2,20,"2/8/20","A","P","A","A","P",2
"228","NightBreak",2,21,"2/8/20","P","P","P","P","A",3
"66","NightBreak",2,23,"2/8/20","A","A","P","A","P",4
"137","NightBreak",2,24,"2/8/20","P","A","P","P","A",2
"161","NightBreak",2,25,"2/8/20","A","P","A","P","P",3
"24","NightBreak",2,26,"2/8/20","A","P","A","P","A",3
"21","NightBreak",2,27,"2/8/20","P","P","A","P","P",2
"114","NightBreak",2,28,"2/8/20","A","A","P","P","A",2
"58","NightBreak",2,29,"2/8/20","P","A","A","P","P",2
"108","NightBreak",2,30,"2/8/20","A","A","P","A","A",2
"112","NightBreak",2,31,"2/8/20","P","A","A","P","A",3
"14","NightBreak",2,32,"2/8/20","A","P","P","A","P",3
